MasterId,Symbol,Cusip,Sedol,ISIN,RIC,Exchange,EasyBorrow,RestrictedList,IssuerName,UserUpd,CoveredBy,CountryOfListing,Manageable,USSSubSector,IndustrySector,TestSymbol,TradingStatus,SecurityType,RegShoCatA,RegShoCatB,RoundLotSize,CountryOfHolding,Valorenn,BBGTicker,PreferredExchange,USSListingId,Disabled,BBObjectType,USSCountry,LastUpdDt,DmlMnemonic,PrimaryMasterId,ShortSaleMsgedId,IsHolder,QuoteLotSize,MinTradableQuantity,IssueType,LocalRestrictedList,BBTickExch,ConsolidatedUSSID,Beta30,SharesOutstanding,MarketMakerExemption,CountryTransactionTax,RegionTransactionTax,QuotationType,MaxTradableLot,Currency
7001,GOOGL,000723400,N1X1Y01,US0000000011,GOOGL,XNAS,Y,N,Alphabet Inc Class A,SYS     ,Desk1,USA,Y,TECH,TECH,,Active,Equity,,,100,USA,VAL701,GOOGL UW,Y,7001,False,EQ ,840,2025-11-06 12:15:00.000,LOAD,7001,1,True,100,100,EQ,,NASDAQ,N001,1.0456,12600000000,False,None,,Normal,1000,USD
7002,AMZN,000723401,N1X1Y02,US0000000012,AMZN,XNAS,Y,N,Amazon.com Inc,SYS     ,Desk1,USA,Y,RETAIL,E-COM,,Active,Equity,,,100,USA,VAL702,AMZN UW,Y,7002,False,EQ ,840,2025-11-06 12:15:00.000,LOAD,7002,1,True,100,100,EQ,,NASDAQ,N002,1.1234,10000000000,False,None,,Normal,1000,USD
7003,TSLA,000723402,N1X1Y03,US0000000013,TSLA,XNAS,Y,N,Tesla Inc,SYS     ,Desk1,USA,Y,AUTO,AUTO,,Active,Equity,,,100,USA,VAL703,TSLA UW,Y,7003,False,EQ ,840,2025-11-06 12:15:00.000,LOAD,7003,1,True,100,100,EQ,,NASDAQ,N003,2.3456,3200000000,False,None,,Normal,1000,USD
7004,META,000723403,N1X1Y04,US0000000014,META,XNAS,Y,N,Meta Platforms Inc,SYS     ,Desk1,USA,Y,TECH,TECH,,Active,Equity,,,100,USA,VAL704,META UW,Y,7004,False,EQ ,840,2025-11-06 12:15:00.000,LOAD,7004,1,True,100,100,EQ,,NASDAQ,N004,1.2345,2400000000,False,None,,Normal,1000,USD
7005,NVDA,000723404,N1X1Y05,US0000000015,NVDA,XNAS,Y,N,NVIDIA Corporation,SYS     ,Desk2,USA,Y,SEMIC,TECH,,Active,Equity,,,100,USA,VAL705,NVDA UW,Y,7005,False,EQ ,840,2025-11-06 12:15:00.000,LOAD,7005,1,True,100,100,EQ,,NASDAQ,N005,1.5678,2500000000,False,None,,Normal,1000,USD
7006,INTC,000723405,N1X1Y06,US0000000016,INTC,XNAS,Y,N,Intel Corporation,SYS     ,Desk2,USA,Y,SEMIC,TECH,,Active,Equity,,,100,USA,VAL706,INTC UW,Y,7006,False,EQ ,840,2025-11-06 12:15:00.000,LOAD,7006,1,True,100,100,EQ,,NASDAQ,N006,0.9876,4200000000,False,None,,Normal,1000,USD
7007,AMD,000723406,N1X1Y07,US0000000017,AMD,XNAS,Y,N,Advanced Micro Devices Inc,SYS     ,Desk2,USA,Y,SEMIC,TECH,,Active,Equity,,,100,USA,VAL707,AMD UW,Y,7007,False,EQ ,840,2025-11-06 12:15:00.000,LOAD,7007,1,True,100,100,EQ,,NASDAQ,N007,1.3456,1600000000,False,None,,Normal,1000,USD
7008,COST,000723407,N1X1Y08,US0000000018,COST,XNAS,Y,N,Costco Wholesale Corporation,SYS     ,Desk2,USA,Y,RETAIL,CONS,,Active,Equity,,,100,USA,VAL708,COST UW,Y,7008,False,EQ ,840,2025-11-06 12:15:00.000,LOAD,7008,1,True,100,100,EQ,,NASDAQ,N008,0.7654,440000000,False,None,,Normal,1000,USD
7009,ADBE,000723408,N1X1Y09,US0000000019,ADBE,XNAS,Y,N,Adobe Inc,SYS     ,Desk3,USA,Y,TECH,SOFTWARE,,Active,Equity,,,100,USA,VAL709,ADBE UW,Y,7009,False,EQ ,840,2025-11-06 12:15:00.000,LOAD,7009,1,True,100,100,EQ,,NASDAQ,N009,1.0123,460000000,False,None,,Normal,1000,USD
7010,CMCSA,000723409,N1X1Y10,US0000000020,CMCSA,XNAS,Y,N,Comcast Corporation,SYS     ,Desk3,USA,Y,MEDIA,TELC,,Active,Equity,,,100,USA,VAL710,CMCSA UW,Y,7010,False,EQ ,840,2025-11-06 12:15:00.000,LOAD,7010,1,True,100,100,EQ,,NASDAQ,N010,0.8765,2100000000,False,None,,Normal,1000,USD

