MasterId,Symbol,Cusip,Sedol,ISIN,RIC,Exchange,EasyBorrow,RestrictedList,IssuerName,UserUpd,CoveredBy,CountryOfListing,Manageable,USSSubSector,IndustrySector,TestSymbol,TradingStatus,SecurityType,RegShoCatA,RegShoCatB,RoundLotSize,CountryOfHolding,Valorenn,BBGTicker,PreferredExchange,USSListingId,Disabled,BBObjectType,USSCountry,LastUpdDt,DmlMnemonic,PrimaryMasterId,ShortSaleMsgedId,IsHolder,QuoteLotSize,MinTradableQuantity,IssueType,LocalRestrictedList,BBTickExch,ConsolidatedUSSID,Beta30,SharesOutstanding,MarketMakerExemption,CountryTransactionTax,RegionTransactionTax,QuotationType,MaxTradableLot,Currency
6001,AAPL,000623400,U1X1Y01,US0000000001,AAPL,XNYS,Y,N,Apple Inc,SYS     ,Desk1,USA,Y,TECH,TECH,,Active,Equity,,,100,USA,VAL601,AAPL US,Y,6001,False,EQ ,840,2025-11-06 12:10:00.000,LOAD,6001,1,True,100,100,EQ,,NYSE,U001,1.1234,15700000000,False,None,,Normal,1000,USD
6002,MSFT,000623401,U1X1Y02,US0000000002,MSFT,XNYS,Y,N,Microsoft Corporation,SYS     ,Desk1,USA,Y,TECH,TECH,,Active,Equity,,,100,USA,VAL602,MSFT US,Y,6002,False,EQ ,840,2025-11-06 12:10:00.000,LOAD,6002,1,True,100,100,EQ,,NYSE,U002,0.9123,7500000000,False,None,,Normal,1000,USD
6003,JPM,000623402,U1X1Y03,US0000000003,JPM,XNYS,Y,N,JPMorgan Chase & Co,SYS     ,Desk1,USA,Y,BANK,FIN,,Active,Equity,,,100,USA,VAL603,JPM US,Y,6003,False,EQ ,840,2025-11-06 12:10:00.000,LOAD,6003,1,True,100,100,EQ,,NYSE,U003,1.2345,3000000000,False,None,,Normal,1000,USD
6004,JNJ,000623403,U1X1Y04,US0000000004,JNJ,XNYS,Y,N,Johnson & Johnson,SYS     ,Desk1,USA,Y,PHARMA,HEAL,,Active,Equity,,,100,USA,VAL604,JNJ US,Y,6004,False,EQ ,840,2025-11-06 12:10:00.000,LOAD,6004,1,True,100,100,EQ,,NYSE,U004,0.6543,2600000000,False,None,,Normal,1000,USD
6005,V,000623404,U1X1Y05,US0000000005,V,XNYS,Y,N,Visa Inc,SYS     ,Desk2,USA,Y,FINANCIAL,FIN,,Active,Equity,,,100,USA,VAL605,V US,Y,6005,False,EQ ,840,2025-11-06 12:10:00.000,LOAD,6005,1,True,100,100,EQ,,NYSE,U005,0.9876,2100000000,False,None,,Normal,1000,USD
6006,WMT,000623405,U1X1Y06,US0000000006,WMT,XNYS,Y,N,Walmart Inc,SYS     ,Desk2,USA,Y,RETAIL,CONS,,Active,Equity,,,100,USA,VAL606,WMT US,Y,6006,False,EQ ,840,2025-11-06 12:10:00.000,LOAD,6006,1,True,100,100,EQ,,NYSE,U006,0.5432,2700000000,False,None,,Normal,1000,USD
6007,PG,000623406,U1X1Y07,US0000000007,PG,XNYS,Y,N,Procter & Gamble Co,SYS     ,Desk2,USA,Y,FMCG,CONS,,Active,Equity,,,100,USA,VAL607,PG US,Y,6007,False,EQ ,840,2025-11-06 12:10:00.000,LOAD,6007,1,True,100,100,EQ,,NYSE,U007,0.4321,2400000000,False,None,,Normal,1000,USD
6008,UNH,000623407,U1X1Y08,US0000000008,UNH,XNYS,Y,N,UnitedHealth Group Inc,SYS     ,Desk2,USA,Y,HEALTHCARE,HEAL,,Active,Equity,,,100,USA,VAL608,UNH US,Y,6008,False,EQ ,840,2025-11-06 12:10:00.000,LOAD,6008,1,True,100,100,EQ,,NYSE,U008,0.6789,950000000,False,None,,Normal,1000,USD
6009,HD,000623408,U1X1Y09,US0000000009,HD,XNYS,Y,N,Home Depot Inc,SYS     ,Desk3,USA,Y,RETAIL,CONS,,Active,Equity,,,100,USA,VAL609,HD US,Y,6009,False,EQ ,840,2025-11-06 12:10:00.000,LOAD,6009,1,True,100,100,EQ,,NYSE,U009,0.7654,1100000000,False,None,,Normal,1000,USD
6010,MA,000623409,U1X1Y10,US0000000010,MA,XNYS,Y,N,Mastercard Inc,SYS     ,Desk3,USA,Y,FINANCIAL,FIN,,Active,Equity,,,100,USA,VAL610,MA US,Y,6010,False,EQ ,840,2025-11-06 12:10:00.000,LOAD,6010,1,True,100,100,EQ,,NYSE,U010,0.8765,950000000,False,None,,Normal,1000,USD

