MasterId,Symbol,Cusip,Sedol,ISIN,RIC,Exchange,EasyBorrow,RestrictedList,IssuerName,UserUpd,CoveredBy,CountryOfListing,Manageable,USSSubSector,IndustrySector,TestSymbol,TradingStatus,SecurityType,RegShoCatA,RegShoCatB,RoundLotSize,CountryOfHolding,Valorenn,BBGTicker,PreferredExchange,USSListingId,Disabled,BBObjectType,USSCountry,LastUpdDt,DmlMnemonic,PrimaryMasterId,ShortSaleMsgedId,IsHolder,QuoteLotSize,MinTradableQuantity,IssueType,LocalRestrictedList,BBTickExch,ConsolidatedUSSID,Beta30,SharesOutstanding,MarketMakerExemption,CountryTransactionTax,RegionTransactionTax,QuotationType,MaxTradableLot,Currency
2001,7203,000223400,J1X1Y01,JP0000000001,7203.T,XTKS,Y,N,Toyota Motor Corp,SYS     ,Desk1,JPN,Y,AUTO,AUTO,,Active,Equity,,,100,JPN,VAL201,7203 JP,Y,2001,False,EQ ,392,2025-11-06 11:32:28.157,LOAD,2001,1,True,100,100,EQ,,TSE,J001,0.825,16100000000,False,None,,Normal,1000,JPY
2002,6758,000223401,J1X1Y02,JP0000000002,6758.T,XTKS,Y,N,Sony Group Corp,SYS     ,Desk1,JPN,Y,ELEC,TECH,,Active,Equity,,,100,JPN,VAL202,6758 JP,Y,2002,False,EQ ,392,2025-11-06 11:32:28.157,LOAD,2002,1,True,100,100,EQ,,TSE,J002,0.794,12600000000,False,None,,Normal,1000,JPY
2003,8306,000223402,J1X1Y03,JP0000000003,8306.T,XTKS,Y,N,Mitsubishi UFJ Financial Group,SYS     ,Desk2,JPN,Y,BANK,FIN,,Active,Equity,,,100,JPN,VAL203,8306 JP,Y,2003,False,EQ ,392,2025-11-06 11:32:28.157,LOAD,2003,1,True,100,100,EQ,,TSE,J003,0.612,12300000000,False,None,,Normal,1000,JPY
2004,9984,000223403,J1X1Y04,JP0000000004,9984.T,XTKS,Y,N,SoftBank Group Corp,SYS     ,Desk2,JPN,Y,TELCO,TECH,,Active,Equity,,,100,JPN,VAL204,9984 JP,Y,2004,False,EQ ,392,2025-11-06 11:32:28.157,LOAD,2004,1,True,100,100,EQ,,TSE,J004,0.5432,12100000000,False,None,,Normal,1000,JPY
2005,6861,000223404,J1X1Y05,JP0000000005,6861.T,XTKS,Y,N,Keyence Corp,SYS     ,Desk2,JPN,Y,ELEC,AUTO,,Active,Equity,,,100,JPN,VAL205,6861 JP,Y,2005,False,EQ ,392,2025-11-06 11:32:28.157,LOAD,2005,1,True,100,100,EQ,,TSE,J005,0.6231,9400000000,False,None,,Normal,1000,JPY
2006,7974,000223405,J1X1Y06,JP0000000006,7974.T,XTKS,Y,N,Nintendo Co Ltd,SYS     ,Desk2,JPN,Y,GAMING,TECH,,Active,Equity,,,100,JPN,VAL206,7974 JP,Y,2006,False,EQ ,392,2025-11-06 11:32:28.157,LOAD,2006,1,True,100,100,EQ,,TSE,J006,0.7143,1200000000,False,None,,Normal,1000,JPY
2007,8035,000223406,J1X1Y07,JP0000000007,8035.T,XTKS,Y,N,Tokyo Electron Ltd,SYS     ,Desk2,JPN,Y,SEMIC,TECH,,Active,Equity,,,100,JPN,VAL207,8035 JP,Y,2007,False,EQ ,392,2025-11-06 11:32:28.157,LOAD,2007,1,True,100,100,EQ,,TSE,J007,0.6912,1500000000,False,None,,Normal,1000,JPY
2008,9983,000223407,J1X1Y08,JP0000000008,9983.T,XTKS,Y,N,Fast Retailing Co Ltd,SYS     ,Desk2,JPN,Y,RETAIL,CONS,,Active,Equity,,,100,JPN,VAL208,9983 JP,Y,2008,False,EQ ,392,2025-11-06 11:32:28.157,LOAD,2008,1,True,100,100,EQ,,TSE,J008,0.5234,1060000000,False,None,,Normal,1000,JPY
2009,6098,000223408,J1X1Y09,JP0000000009,6098.T,XTKS,Y,N,Recruit Holdings Co Ltd,SYS     ,Desk3,JPN,Y,HR,SERV,,Active,Equity,,,100,JPN,VAL209,6098 JP,Y,2009,False,EQ ,392,2025-11-06 11:32:28.157,LOAD,2009,1,True,100,100,EQ,,TSE,J009,0.4891,540000000,False,None,,Normal,1000,JPY
2010,8058,000223409,J1X1Y10,JP0000000010,8058.T,XTKS,Y,N,Mitsubishi Corp,SYS     ,Desk3,JPN,Y,TRADING,INDU,,Active,Equity,,,100,JPN,VAL210,8058 JP,Y,2010,False,EQ ,392,2025-11-06 11:32:28.157,LOAD,2010,1,True,100,100,EQ,,TSE,J010,0.512,850000000,False,None,,Normal,1000,JPY
