MasterId,Symbol,Cusip,Sedol,ISIN,RIC,Exchange,EasyBorrow,RestrictedList,IssuerName,UserUpd,CoveredBy,CountryOfListing,Manageable,USSSubSector,IndustrySector,TestSymbol,TradingStatus,SecurityType,RegShoCatA,RegShoCatB,RoundLotSize,CountryOfHolding,Valorenn,BBGTicker,PreferredExchange,USSListingId,Disabled,BBObjectType,USSCountry,LastUpdDt,DmlMnemonic,PrimaryMasterId,ShortSaleMsgedId,IsHolder,QuoteLotSize,MinTradableQuantity,IssueType,LocalRestrictedList,BBTickExch,ConsolidatedUSSID,Beta30,SharesOutstanding,MarketMakerExemption,CountryTransactionTax,RegionTransactionTax,QuotationType,MaxTradableLot,Currency
3001,RELIANCE,000323400,I1X1Y01,IN0000000001,RELIANCE.NS,XNSE,Y,N,Reliance Industries Ltd,SYS     ,Desk1,IND,Y,ENERGY,CONG,,Active,Equity,,,100,IND,VAL301,RELIANCE IN,Y,3001,False,EQ ,91,2025-11-06 11:33:54.337,LOAD,3001,1,True,100,100,EQ,,NSE,I001,0.8501,6760000000,False,STT,,Normal,1000,INR
3002,TCS,000323401,I1X1Y02,IN0000000002,TCS.NS,XNSE,Y,N,Tata Consultancy Services Ltd,SYS     ,Desk1,IND,Y,TECH,IT,,Active,Equity,,,100,IND,VAL302,TCS IN,Y,3002,False,EQ ,91,2025-11-06 11:33:54.337,LOAD,3002,1,True,100,100,EQ,,NSE,I002,0.9123,3600000000,False,STT,,Normal,1000,INR
3003,INFY,000323402,I1X1Y03,IN0000000003,INFY.NS,XNSE,Y,N,Infosys Ltd,SYS     ,Desk1,IND,Y,TECH,IT,,Active,Equity,,,100,IND,VAL303,INFY IN,Y,3003,False,EQ ,91,2025-11-06 11:33:54.337,LOAD,3003,1,True,100,100,EQ,,NSE,I003,0.8742,4200000000,False,STT,,Normal,1000,INR
3004,HDFCBANK,000323403,I1X1Y04,IN0000000004,HDFCBANK.NS,XNSE,Y,N,HDFC Bank Ltd,SYS     ,Desk1,IND,Y,BANK,FIN,,Active,Equity,,,100,IND,VAL304,HDFCBANK IN,Y,3004,False,EQ ,91,2025-11-06 11:33:54.337,LOAD,3004,1,True,100,100,EQ,,NSE,I004,0.612,5500000000,False,STT,,Normal,1000,INR
3005,ICICIBANK,000323404,I1X1Y05,IN0000000005,ICICIBANK.NS,XNSE,Y,N,ICICI Bank Ltd,SYS     ,Desk1,IND,Y,BANK,FIN,,Active,Equity,,,100,IND,VAL305,ICICIBANK IN,Y,3005,False,EQ ,91,2025-11-06 11:33:54.337,LOAD,3005,1,True,100,100,EQ,,NSE,I005,0.6652,4720000000,False,STT,,Normal,1000,INR
3006,HINDUNILVR,000323405,I1X1Y06,IN0000000006,HINDUNILVR.NS,XNSE,Y,N,Hindustan Unilever Ltd,SYS     ,Desk1,IND,Y,FMCG,CONS,,Active,Equity,,,100,IND,VAL306,HUL IN,Y,3006,False,EQ ,91,2025-11-06 11:33:54.337,LOAD,3006,1,True,100,100,EQ,,NSE,I006,0.4893,2350000000,False,STT,,Normal,1000,INR
3007,ITC,000323406,I1X1Y07,IN0000000007,ITC.NS,XNSE,Y,N,ITC Ltd,SYS     ,Desk2,IND,Y,FMCG,CONS,,Active,Equity,,,100,IND,VAL307,ITC IN,Y,3007,False,EQ ,91,2025-11-06 11:33:54.337,LOAD,3007,1,True,100,100,EQ,,NSE,I007,0.5231,3100000000,False,STT,,Normal,1000,INR
3008,LT,000323407,I1X1Y08,IN0000000008,LT.NS,XNSE,Y,N,Larsen & Toubro Ltd,SYS     ,Desk2,IND,Y,ENGG,INDU,,Active,Equity,,,100,IND,VAL308,LT IN,Y,3008,False,EQ ,91,2025-11-06 11:33:54.337,LOAD,3008,1,True,100,100,EQ,,NSE,I008,0.5674,1400000000,False,STT,,Normal,1000,INR
3009,BHARTIARTL,000323408,I1X1Y09,IN0000000009,BHARTIARTL.NS,XNSE,Y,N,Bharti Airtel Ltd,SYS     ,Desk2,IND,Y,TELCO,TELC,,Active,Equity,,,100,IND,VAL309,BHARTIARTL IN,Y,3009,False,EQ ,91,2025-11-06 11:33:54.337,LOAD,3009,1,True,100,100,EQ,,NSE,I009,0.4772,5600000000,False,STT,,Normal,1000,INR
3010,KOTAKBANK,000323409,I1X1Y10,IN0000000010,KOTAKBANK.NS,XNSE,Y,N,Kotak Mahindra Bank Ltd,SYS     ,Desk2,IND,Y,BANK,FIN,,Active,Equity,,,100,IND,VAL310,KOTAKBANK IN,Y,3010,False,EQ ,91,2025-11-06 11:33:54.337,LOAD,3010,1,True,100,100,EQ,,NSE,I010,0.5394,1900000000,False,STT,,Normal,1000,INR
