MasterId,Symbol,Cusip,Sedol,ISIN,RIC,Exchange,EasyBorrow,RestrictedList,IssuerName,UserUpd,CoveredBy,CountryOfListing,Manageable,USSSubSector,IndustrySector,TestSymbol,TradingStatus,SecurityType,RegShoCatA,RegShoCatB,RoundLotSize,CountryOfHolding,Valorenn,BBGTicker,PreferredExchange,USSListingId,Disabled,BBObjectType,USSCountry,LastUpdDt,DmlMnemonic,PrimaryMasterId,ShortSaleMsgedId,IsHolder,QuoteLotSize,MinTradableQuantity,IssueType,LocalRestrictedList,BBTickExch,ConsolidatedUSSID,Beta30,SharesOutstanding,MarketMakerExemption,CountryTransactionTax,RegionTransactionTax,QuotationType,MaxTradableLot,Currency
5001,MC,000523400,P1X1Y01,FR0000000001,MC.PA,XPAR,Y,N,LVMH Moet Hennessy Louis Vuitton SE,SYS     ,Desk1,FRA,Y,LUXURY,CONS,,Active,Equity,,,100,FRA,VAL501,MC FP,Y,5001,False,EQ ,250,2025-11-06 12:05:00.000,LOAD,5001,1,True,100,100,EQ,,EPA,F001,0.7234,500000000,False,FinancialTransactionTax,,Normal,1000,EUR
5002,SAF,000523401,P1X1Y02,FR0000000002,SAF.PA,XPAR,Y,N,Safran SA,SYS     ,Desk1,FRA,Y,AEROSPACE,INDU,,Active,Equity,,,100,FRA,VAL502,SAF FP,Y,5002,False,EQ ,250,2025-11-06 12:05:00.000,LOAD,5002,1,True,100,100,EQ,,EPA,F002,0.8123,430000000,False,FinancialTransactionTax,,Normal,1000,EUR
5003,OR,000523402,P1X1Y03,FR0000000003,OR.PA,XPAR,Y,N,L'Oreal SA,SYS     ,Desk1,FRA,Y,COSMETICS,CONS,,Active,Equity,,,100,FRA,VAL503,OR FP,Y,5003,False,EQ ,250,2025-11-06 12:05:00.000,LOAD,5003,1,True,100,100,EQ,,EPA,F003,0.6542,560000000,False,FinancialTransactionTax,,Normal,1000,EUR
5004,BNP,000523403,P1X1Y04,FR0000000004,BNP.PA,XPAR,Y,N,BNP Paribas SA,SYS     ,Desk1,FRA,Y,BANK,FIN,,Active,Equity,,,100,FRA,VAL504,BNP FP,Y,5004,False,EQ ,250,2025-11-06 12:05:00.000,LOAD,5004,1,True,100,100,EQ,,EPA,F004,0.7891,1200000000,False,FinancialTransactionTax,,Normal,1000,EUR
5005,TTE,000523404,P1X1Y05,FR0000000005,TTE.PA,XPAR,Y,N,TotalEnergies SE,SYS     ,Desk2,FRA,Y,ENERGY,OILGAS,,Active,Equity,,,100,FRA,VAL505,TTE FP,Y,5005,False,EQ ,250,2025-11-06 12:05:00.000,LOAD,5005,1,True,100,100,EQ,,EPA,F005,0.5432,2400000000,False,FinancialTransactionTax,,Normal,1000,EUR
5006,EL,000523405,P1X1Y06,FR0000000006,EL.PA,XPAR,Y,N,EssilorLuxottica SA,SYS     ,Desk2,FRA,Y,OPTICS,HEAL,,Active,Equity,,,100,FRA,VAL506,EL FP,Y,5006,False,EQ ,250,2025-11-06 12:05:00.000,LOAD,5006,1,True,100,100,EQ,,EPA,F006,0.6123,450000000,False,FinancialTransactionTax,,Normal,1000,EUR
5007,VIE,000523406,P1X1Y07,FR0000000007,VIE.PA,XPAR,Y,N,Veolia Environnement SA,SYS     ,Desk2,FRA,Y,UTILITY,UTIL,,Active,Equity,,,100,FRA,VAL507,VIE FP,Y,5007,False,EQ ,250,2025-11-06 12:05:00.000,LOAD,5007,1,True,100,100,EQ,,EPA,F007,0.6789,280000000,False,FinancialTransactionTax,,Normal,1000,EUR
5008,ATO,000523407,P1X1Y08,FR0000000008,ATO.PA,XPAR,Y,N,Atos SE,SYS     ,Desk2,FRA,Y,TECH,IT,,Active,Equity,,,100,FRA,VAL508,ATO FP,Y,5008,False,EQ ,250,2025-11-06 12:05:00.000,LOAD,5008,1,True,100,100,EQ,,EPA,F008,0.4567,110000000,False,FinancialTransactionTax,,Normal,1000,EUR
5009,ENGI,000523408,P1X1Y09,FR0000000009,ENGI.PA,XPAR,Y,N,Engie SA,SYS     ,Desk3,FRA,Y,UTILITY,UTIL,,Active,Equity,,,100,FRA,VAL509,ENGI FP,Y,5009,False,EQ ,250,2025-11-06 12:05:00.000,LOAD,5009,1,True,100,100,EQ,,EPA,F009,0.5234,2400000000,False,FinancialTransactionTax,,Normal,1000,EUR
5010,AC,000523409,P1X1Y10,FR0000000010,AC.PA,XPAR,Y,N,Accor SA,SYS     ,Desk3,FRA,Y,HOTEL,SERV,,Active,Equity,,,100,FRA,VAL510,AC FP,Y,5010,False,EQ ,250,2025-11-06 12:05:00.000,LOAD,5010,1,True,100,100,EQ,,EPA,F010,0.5891,270000000,False,FinancialTransactionTax,,Normal,1000,EUR

